Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
156,-2571040,0,0,0,0,0,0,05,0,0,0
157,-2571000,0,0,0,0,0,0,05,1,0,0
158,-2570960,0,0,0,0,0,0,05,0,0,0
159,-2570920,0,0,0,0,0,0,05,1,0,0
160,-2570880,0,0,0,0,0,0,05,0,0,0
161,-2570840,0,0,0,0,0,0,05,1,0,0
162,-2570800,0,0,0,0,0,0,05,0,0,0
163,-2570760,0,0,0,0,0,0,05,1,0,0
164,-2570720,0,0,0,0,0,0,05,0,0,0
165,-2570680,0,0,0,0,0,0,05,1,0,0
166,-2570640,0,0,0,0,0,0,05,0,0,0
167,-2570600,0,0,0,0,0,0,05,1,0,0
168,-2570560,0,0,0,0,0,0,05,0,0,0
169,-2570520,0,0,0,0,0,0,05,1,0,0
170,-2570480,0,0,0,0,0,0,05,0,0,0
171,-2570440,0,0,0,0,0,0,05,1,0,0
172,-2570400,0,0,0,0,0,0,05,0,0,0
173,-2570360,0,0,0,0,0,0,05,1,0,0
174,-2570320,0,0,0,0,0,0,05,0,0,0
175,-2570280,0,0,0,0,0,0,05,1,0,0
176,-2570240,0,0,0,0,0,0,05,0,0,0
177,-2570200,0,0,0,0,0,0,05,1,0,0
178,-2570160,0,0,0,0,0,0,05,0,0,0
179,-2570120,0,0,0,0,0,0,05,1,0,0
180,-2570080,0,0,0,0,0,0,05,0,0,0
181,-2570040,0,0,0,0,0,0,05,1,0,0
182,-2570000,0,0,0,0,0,0,05,0,0,0
183,-2569960,0,0,0,0,0,0,05,1,0,0
184,-2569920,0,0,0,0,0,0,05,0,0,0
185,-2569880,0,0,0,0,0,0,05,1,0,0
186,-2569840,0,0,0,0,0,0,05,0,0,0
187,-2569800,0,0,0,0,0,0,05,1,0,0
188,-2569760,0,0,0,0,0,0,05,0,0,0
189,-2569720,0,0,0,0,0,0,05,1,0,0
190,-2569680,0,0,0,0,0,0,05,0,0,0
191,-2569640,0,0,0,0,0,0,05,1,0,0
192,-2569600,0,0,0,0,0,0,05,0,0,0
193,-2569560,0,0,0,0,0,0,05,1,0,0
194,-2569520,0,0,0,0,0,0,05,0,0,0
195,-2569480,0,0,0,0,0,0,05,1,0,0
196,-2569440,0,0,0,0,0,0,05,0,0,0
197,-2569400,0,0,0,0,0,0,05,1,0,0
198,-2569360,0,0,0,0,0,0,05,0,0,0
199,-2569320,0,0,0,0,0,0,05,1,0,0
200,-2569280,0,0,0,0,0,0,05,0,0,0
201,-2569240,0,0,0,0,0,0,05,1,0,0
202,-2569200,0,0,0,0,0,0,05,0,0,0
203,-2569160,0,0,0,0,0,0,05,1,0,0
204,-2569120,0,0,0,0,0,0,05,0,0,0
205,-2569080,0,0,0,0,0,0,05,1,0,0
206,-2569040,0,0,0,0,0,0,05,0,0,0
207,-2569000,0,0,0,0,0,0,05,1,0,0
208,-2568960,0,0,0,0,0,0,05,0,0,0
209,-2568920,0,0,0,0,0,0,05,1,0,0
210,-2568880,0,0,0,0,0,0,05,0,0,0
211,-2568840,0,0,0,0,0,0,05,1,0,0
212,-2568800,0,0,0,0,0,0,05,0,0,0
213,-2568760,0,0,0,0,0,0,05,1,0,0
214,-2568720,0,0,0,0,0,0,06,0,0,0
215,-2568680,0,0,0,0,0,0,06,1,0,0
216,-2568640,0,0,0,0,0,0,06,0,0,0
217,-2568600,0,0,0,0,0,0,06,1,0,0
218,-2568560,0,0,0,0,0,0,06,0,0,0
219,-2568520,0,0,0,0,0,0,06,1,0,0
220,-2568480,0,0,0,0,0,0,06,0,0,0
221,-2568440,0,0,0,0,0,0,06,1,0,0
222,-2568400,0,0,0,0,0,0,06,0,0,0
223,-2568360,0,0,0,0,0,0,06,1,0,0
224,-2568320,0,0,0,0,0,0,06,0,0,0
225,-2568280,0,0,0,0,0,0,06,1,0,0
226,-2568240,0,0,0,0,0,0,06,0,0,0
227,-2568220,0,0,0,0,0,0,06,0,0,1
228,-2568200,0,0,0,0,0,0,06,1,0,1
229,-2568160,0,0,0,0,0,0,06,0,0,1
230,-2568120,0,0,0,0,0,0,06,1,0,1
231,-2568080,0,0,0,0,0,0,06,0,0,1
232,-2568040,0,0,0,0,0,0,06,1,0,1
233,-2568000,0,0,0,0,0,0,06,0,0,1
234,-2567960,0,0,0,0,0,0,06,1,0,1
235,-2567920,0,0,0,0,0,0,06,0,0,1
236,-2567890,0,0,0,0,0,0,06,0,0,0
237,-2567880,0,0,0,0,0,0,06,1,0,0
238,-2567840,0,0,0,0,0,0,06,0,0,0
239,-2567800,0,0,0,0,0,0,06,1,0,0
240,-2567760,0,0,0,0,0,0,06,0,0,0
241,-2567720,0,0,0,0,0,0,06,1,0,0
242,-2567680,0,0,0,0,0,0,06,0,0,0
243,-2567640,0,0,0,0,0,0,06,1,0,0
244,-2567600,0,0,0,0,0,0,06,0,0,0
245,-2567560,0,0,0,0,0,0,06,1,0,0
246,-2567520,0,0,0,0,0,0,06,0,0,0
247,-2567480,0,0,0,0,0,0,06,1,0,0
248,-2567440,0,0,0,0,0,0,06,0,0,0
249,-2567400,0,0,0,0,0,0,06,1,0,0
250,-2567360,0,0,0,0,0,0,06,0,0,0
251,-2567320,0,0,0,0,0,0,06,1,0,0
252,-2567280,0,0,0,0,0,0,06,0,0,0
253,-2567240,0,0,0,0,0,0,06,1,0,0
254,-2567200,0,0,0,0,0,0,06,0,0,0
255,-2567160,0,0,0,0,0,0,06,1,0,0
256,-2567120,0,0,0,0,0,0,06,0,0,0
257,-2567080,0,0,0,0,0,0,06,1,0,0
258,-2567040,0,0,0,0,0,0,06,0,0,0
259,-2567000,0,0,0,0,0,0,06,1,0,0
260,-2566960,0,0,0,0,0,0,06,0,0,0
261,-2566920,0,0,0,0,0,0,06,1,0,0
262,-2566880,0,0,0,0,0,0,06,0,0,0
