Line#,Time,OE,LAT,CLK,SELECT,B2,G2,R2,B1,G1,R1
195,2780,0,0,0,00,1,0,0,1,0,0
196,2790,0,0,0,00,1,1,0,1,1,0
197,2800,0,0,1,00,1,1,1,1,1,1
198,2850,0,0,0,00,1,1,1,1,1,1
199,2870,0,0,0,00,0,1,1,0,1,1
200,2880,0,0,1,00,0,0,0,0,0,0
201,2930,0,0,0,00,0,0,0,0,0,0
202,2940,0,0,0,00,1,0,0,1,0,0
203,2950,0,0,0,00,1,1,0,1,1,0
204,2960,0,0,1,00,1,1,1,1,1,1
205,3010,0,0,0,00,1,1,1,1,1,1
206,3030,0,0,0,00,0,1,1,0,1,1
207,3040,0,0,1,00,0,0,0,0,0,0
208,3090,0,0,0,00,0,0,0,0,0,0
209,3120,0,0,1,00,0,0,0,0,0,0
210,3170,0,0,0,00,0,0,0,0,0,0
211,3200,0,0,1,00,0,0,0,0,0,0
212,3250,0,0,0,00,0,0,0,0,0,0
213,3280,0,0,1,00,0,0,0,0,0,0
214,3330,0,0,0,00,0,0,0,0,0,0
215,3360,0,0,1,00,0,0,0,0,0,0
216,3410,0,0,0,00,0,0,0,0,0,0
217,3440,0,0,1,00,0,0,0,0,0,0
218,3490,0,0,0,00,0,0,0,0,0,0
219,3520,0,0,1,00,0,0,0,0,0,0
220,3570,0,0,0,00,0,0,0,0,0,0
221,3600,0,0,1,00,0,0,0,0,0,0
222,3650,0,0,0,00,0,0,0,0,0,0
223,3680,0,0,1,00,0,0,0,0,0,0
224,3730,0,0,0,00,0,0,0,0,0,0
225,3740,0,0,0,00,1,0,0,1,0,0
226,3750,0,0,0,00,1,1,0,1,1,0
227,3760,0,0,1,00,1,1,1,1,1,1
228,3810,0,0,0,00,1,1,1,1,1,1
229,3830,0,0,0,00,0,1,1,0,1,1
230,3840,0,0,1,00,0,0,0,0,0,0
231,3890,0,0,0,00,0,0,0,0,0,0
232,3900,0,0,0,00,1,0,0,1,0,0
233,3910,0,0,0,00,1,1,0,1,1,0
234,3920,0,0,1,00,1,1,1,1,1,1
235,3970,0,0,0,00,1,1,1,1,1,1
236,3990,0,0,0,00,0,1,1,0,1,1
237,4000,0,0,1,00,0,0,0,0,0,0
238,4050,0,0,0,00,0,0,0,0,0,0
239,4060,0,0,0,00,1,0,0,1,0,0
240,4070,0,0,0,00,1,1,0,1,1,0
241,4080,0,0,1,00,1,1,1,1,1,1
242,4130,0,0,0,00,1,1,1,1,1,1
243,4150,0,0,0,00,0,1,1,0,1,1
244,4160,0,0,1,00,0,0,0,0,0,0
245,4210,0,0,0,00,0,0,0,0,0,0
246,4220,0,0,0,00,1,0,0,1,0,0
247,4230,0,0,0,00,1,1,0,1,1,0
248,4240,0,0,1,00,1,1,1,1,1,1
249,4290,0,0,0,00,1,1,1,1,1,1
250,4310,0,0,0,00,0,1,1,0,1,1
251,4320,0,0,1,00,0,0,0,0,0,0
252,4350,0,0,1,01,0,0,0,0,0,0
253,4370,0,0,0,01,0,0,0,0,0,0
254,4400,0,0,1,01,0,0,0,0,0,0
255,4450,0,0,0,01,0,0,0,0,0,0
256,4480,0,0,1,01,0,0,0,0,0,0
257,4530,0,0,0,01,0,0,0,0,0,0
258,4560,0,0,1,01,0,0,0,0,0,0
259,4610,0,0,0,01,0,0,0,0,0,0
260,4640,0,0,1,01,0,0,0,0,0,0
261,4690,0,0,0,01,0,0,0,0,0,0
262,4720,0,0,1,01,0,0,0,0,0,0
263,4770,0,0,0,01,0,0,0,0,0,0
264,4800,0,0,1,01,0,0,0,0,0,0
265,4850,0,0,0,01,0,0,0,0,0,0
266,4860,1,0,0,01,0,0,0,0,0,0
267,4880,1,0,1,01,0,0,0,0,0,0
268,4930,1,0,0,01,0,0,0,0,0,0
269,4960,1,0,1,01,0,0,0,0,0,0
270,5010,1,0,0,01,0,0,0,0,0,0
271,5020,1,0,0,01,1,0,0,1,0,0
272,5030,1,0,0,01,1,1,0,1,1,0
273,5040,1,0,1,01,1,1,1,1,1,1
274,5090,1,0,0,01,1,1,1,1,1,1
275,5110,1,0,0,01,0,1,1,0,1,1
276,5120,1,0,1,01,0,0,0,0,0,0
277,5170,1,0,0,01,0,0,0,0,0,0
278,5180,1,0,0,01,1,0,0,1,0,0
279,5190,0,0,0,01,1,1,0,1,1,0
280,5200,0,0,1,01,1,1,1,1,1,1
281,5250,0,0,0,01,1,1,1,1,1,1
282,5260,0,1,0,01,1,1,1,1,1,1
283,5270,0,1,0,01,0,1,1,0,1,1
284,5280,0,1,1,01,0,0,0,0,0,0
285,5330,0,1,0,01,0,0,0,0,0,0
286,5340,0,1,0,01,1,0,0,1,0,0
287,5350,0,1,0,01,1,1,0,1,1,0
288,5360,0,1,1,01,1,1,1,1,1,1
289,5410,0,1,0,01,1,1,1,1,1,1
290,5430,0,1,0,01,0,1,1,0,1,1
291,5440,0,1,1,01,0,0,0,0,0,0
292,5490,0,1,0,01,0,0,0,0,0,0
293,5500,0,1,0,01,1,0,0,1,0,0
294,5510,0,1,0,01,1,1,0,1,1,0
295,5520,0,1,1,01,1,1,1,1,1,1
296,5570,0,1,0,01,1,1,1,1,1,1
