Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
257,-2568110,0,0,0,0,0,0,06,1,0,0
258,-2568070,0,0,0,0,0,0,06,0,0,0
259,-2568030,0,0,0,0,0,0,06,1,0,0
260,-2567990,0,0,0,0,0,0,06,0,0,0
261,-2567950,0,0,0,0,0,0,06,1,0,0
262,-2567910,0,0,0,0,0,0,06,0,0,0
263,-2567870,0,0,0,0,0,0,06,1,0,0
264,-2567830,0,0,0,0,0,0,06,0,0,0
265,-2567790,0,0,0,0,0,0,06,1,0,0
266,-2567750,0,0,0,0,0,0,06,0,0,0
267,-2567710,0,0,0,0,0,0,06,1,0,0
268,-2567670,0,0,0,0,0,0,06,0,0,0
269,-2567630,0,0,0,0,0,0,06,1,0,0
270,-2567590,0,0,0,0,0,0,06,0,0,0
271,-2567550,0,0,0,0,0,0,06,1,0,0
272,-2567510,0,0,0,0,0,0,06,0,0,0
273,-2567470,0,0,0,0,0,0,06,1,0,0
274,-2567430,0,0,0,0,0,0,06,0,0,0
275,-2567390,0,0,0,0,0,0,06,1,0,0
276,-2567350,0,0,0,0,0,0,06,0,0,0
277,-2567310,0,0,0,0,0,0,06,1,0,0
278,-2567270,0,0,0,0,0,0,06,0,0,0
279,-2567230,0,0,0,0,0,0,06,1,0,0
280,-2567190,0,0,0,0,0,0,06,0,0,0
281,-2567150,0,0,0,0,0,0,06,1,0,0
282,-2567110,0,0,0,0,0,0,06,0,0,0
283,-2567070,0,0,0,0,0,0,06,1,0,0
284,-2567030,0,0,0,0,0,0,06,0,0,0
285,-2566990,0,0,0,0,0,0,06,1,0,0
286,-2566950,0,0,0,0,0,0,06,0,0,0
287,-2566910,0,0,0,0,0,0,06,1,0,0
288,-2566870,0,0,0,0,0,0,06,0,0,0
289,-2566830,0,0,0,0,0,0,06,1,0,0
290,-2566790,0,0,0,0,0,0,06,0,0,0
291,-2566750,0,0,0,0,0,0,06,1,0,0
292,-2566710,0,0,0,0,0,0,06,0,0,0
293,-2566670,0,0,0,0,0,0,06,1,0,0
294,-2566630,0,0,0,0,0,0,06,0,0,0
295,-2566590,0,0,0,0,0,0,06,1,0,0
296,-2566550,0,0,0,0,0,0,06,0,0,0
297,-2566510,0,0,0,0,0,0,06,1,0,0
298,-2566470,0,0,0,0,0,0,06,0,0,0
299,-2566430,0,0,0,0,0,0,06,1,0,0
300,-2566390,0,0,0,0,0,0,06,0,0,0
301,-2566350,0,0,0,0,0,0,06,1,0,0
302,-2566310,0,0,0,0,0,0,06,0,0,0
303,-2566270,0,0,0,0,0,0,06,1,0,0
304,-2566230,0,0,0,0,0,0,06,0,0,0
305,-2566190,0,0,0,0,0,0,06,1,0,0
306,-2566150,0,0,0,0,0,0,06,0,0,0
307,-2566110,0,0,0,0,0,0,06,1,0,0
308,-2566070,0,0,0,0,0,0,06,0,0,0
309,-2566030,0,0,0,0,0,0,06,1,0,0
310,-2565990,0,0,0,0,0,0,06,0,0,0
311,-2565950,0,0,0,0,0,0,06,1,0,0
312,-2565910,0,0,0,0,0,0,06,0,0,0
313,-2565870,0,0,0,0,0,0,06,1,0,0
314,-2565830,0,0,0,0,0,0,06,0,0,0
315,-2565790,0,0,0,0,0,0,06,1,0,0
316,-2565750,0,0,0,0,0,0,06,0,0,0
317,-2565710,0,0,0,0,0,0,06,1,0,0
318,-2565670,0,0,0,0,0,0,06,0,0,0
319,-2565630,0,0,0,0,0,0,06,1,0,0
320,-2565590,0,0,0,0,0,0,06,0,0,0
321,-2565550,0,0,0,0,0,0,06,1,0,0
322,-2565510,0,0,0,0,0,0,06,0,0,0
323,-2565470,0,0,0,0,0,0,06,1,0,0
324,-2565430,0,0,0,0,0,0,06,0,0,0
325,-2565390,0,0,0,0,0,0,06,1,0,0
326,-2565350,0,0,0,0,0,0,06,0,0,0
327,-2565310,0,0,0,0,0,0,06,1,0,0
328,-2565270,0,0,0,0,0,0,06,0,0,0
329,-2565230,0,0,0,0,0,0,06,1,0,0
330,-2565190,0,0,0,0,0,0,06,0,0,0
331,-2565150,0,0,0,0,0,0,06,1,0,0
332,-2565110,0,0,0,0,0,0,06,0,0,0
333,-2565070,0,0,0,0,0,0,06,1,0,0
334,-2565030,0,0,0,0,0,0,06,0,0,0
335,-2564990,0,0,0,0,0,0,06,1,0,0
336,-2564950,0,0,0,0,0,0,06,0,0,0
337,-2564910,0,0,0,0,0,0,06,1,0,0
338,-2564870,0,0,0,0,0,0,06,0,0,0
339,-2564830,0,0,0,0,0,0,06,1,0,0
340,-2564790,0,0,0,0,0,0,06,0,0,0
341,-2564750,0,0,0,0,0,0,06,1,0,0
342,-2564710,0,0,0,0,0,0,06,0,0,0
343,-2564670,0,0,0,0,0,0,06,1,0,0
344,-2564630,0,0,0,0,0,0,06,0,0,0
345,-2564590,0,0,0,0,0,0,06,1,0,0
346,-2564550,0,0,0,0,0,0,06,0,0,0
347,-2564510,0,0,0,0,0,0,06,1,0,0
348,-2564470,0,0,0,0,0,0,06,0,0,0
349,-2564430,0,0,0,0,0,0,06,1,0,0
350,-2564390,0,0,0,0,0,0,06,0,0,0
351,-2564350,0,0,0,0,0,0,06,1,0,0
352,-2564310,0,0,0,0,0,0,06,0,0,0
353,-2564270,0,0,0,0,0,0,06,1,0,0
354,-2564230,0,0,0,0,0,0,06,0,0,0
355,-2564190,0,0,0,0,0,0,06,1,0,0
356,-2564150,0,0,0,0,0,0,06,0,0,0
357,-2564110,0,0,0,0,0,0,06,1,0,0
358,-2564070,0,0,0,0,0,0,06,0,0,0
359,-2564030,0,0,0,0,0,0,06,1,0,0
360,-2563990,0,0,0,0,0,0,06,0,0,0
361,-2563950,0,0,0,0,0,0,06,1,0,0
362,-2563910,0,0,0,0,0,0,06,0,0,0
363,-2563870,0,0,0,0,0,0,06,1,0,0
364,-2563830,0,0,0,0,0,0,06,0,0,0
365,-2563790,0,0,0,0,0,0,06,1,0,0
366,-2563750,0,0,0,0,0,0,06,0,0,0
367,-2563710,0,0,0,0,0,0,06,1,0,0
368,-2563670,0,0,0,0,0,0,06,0,0,0
369,-2563630,0,0,0,0,0,0,06,1,0,0
370,-2563590,0,0,0,0,0,0,06,0,0,0
371,-2563550,0,0,0,0,0,0,06,1,0,0
372,-2563510,0,0,0,0,0,0,06,0,0,0
373,-2563470,0,0,0,0,0,0,06,1,0,0
374,-2563430,0,0,0,0,0,0,06,0,0,0
375,-2563390,0,0,0,0,0,0,06,1,0,0
376,-2563350,0,0,0,0,0,0,06,0,0,0
377,-2563310,0,0,0,0,0,0,06,1,0,0
378,-2563270,0,0,0,0,0,0,06,0,0,0
379,-2563230,0,0,0,0,0,0,06,1,0,0
380,-2563190,0,0,0,0,0,0,06,0,0,0
381,-2563150,0,0,0,0,0,0,06,1,0,0
382,-2563110,0,0,0,0,0,0,06,0,0,0
383,-2563070,0,0,0,0,0,0,06,1,0,0
384,-2563030,0,0,0,0,0,0,06,0,0,0
385,-2562990,0,0,0,0,0,0,06,1,0,0
386,-2562950,0,0,0,0,0,0,06,0,0,0
387,-2562910,0,0,0,0,0,0,06,1,0,0
388,-2562870,0,0,0,0,0,0,06,0,0,0
389,-2562830,0,0,0,0,0,0,06,1,0,0
390,-2562790,0,0,0,0,0,0,06,0,0,0
391,-2562750,0,0,0,0,0,0,06,1,0,0
392,-2562710,0,0,0,0,0,0,06,0,0,0
393,-2562670,0,0,0,0,0,0,06,1,0,0
394,-2562630,0,0,0,0,0,0,06,0,0,0
395,-2562590,0,0,0,0,0,0,06,1,0,0
396,-2562550,0,0,0,0,0,0,06,0,0,0
397,-2562510,0,0,0,0,0,0,06,1,0,0
398,-2562500,0,0,0,0,0,0,07,1,0,0
399,-2562470,0,0,0,0,0,0,07,0,0,0
400,-2562430,0,0,0,0,0,0,07,1,0,0
401,-2562390,0,0,0,0,0,0,07,0,0,0
402,-2562350,0,0,0,0,0,0,07,1,0,0
403,-2562310,0,0,0,0,0,0,07,0,0,0
404,-2562270,0,0,0,0,0,0,07,1,0,0
405,-2562230,0,0,0,0,0,0,07,0,0,0
406,-2562190,0,0,0,0,0,0,07,1,0,0
407,-2562150,0,0,0,0,0,0,07,0,0,0
408,-2562110,0,0,0,0,0,0,07,1,0,0
409,-2562070,0,0,0,0,0,0,07,0,0,0
410,-2562030,0,0,0,0,0,0,07,1,0,0
411,-2561990,0,0,0,0,0,0,07,0,0,0
412,-2561970,0,0,0,0,0,0,07,0,0,1
413,-2561950,0,0,0,0,0,0,07,1,0,1
414,-2561910,0,0,0,0,0,0,07,0,0,1
415,-2561870,0,0,0,0,0,0,07,1,0,1
416,-2561830,0,0,0,0,0,0,07,0,0,1
417,-2561790,0,0,0,0,0,0,07,1,0,1
418,-2561750,0,0,0,0,0,0,07,0,0,1
419,-2561710,0,0,0,0,0,0,07,1,0,1
420,-2561670,0,0,0,0,0,0,07,0,0,1
421,-2561640,0,0,0,0,0,0,07,0,0,0
422,-2561630,0,0,0,0,0,0,07,1,0,0
423,-2561590,0,0,0,0,0,0,07,0,0,0
424,-2561550,0,0,0,0,0,0,07,1,0,0
425,-2561510,0,0,0,0,0,0,07,0,0,0
426,-2561470,0,0,0,0,0,0,07,1,0,0
427,-2561430,0,0,0,0,0,0,07,0,0,0
428,-2561390,0,0,0,0,0,0,07,1,0,0
429,-2561350,0,0,0,0,0,0,07,0,0,0
430,-2561310,0,0,0,0,0,0,07,1,0,0
431,-2561270,0,0,0,0,0,0,07,0,0,0
432,-2561230,0,0,0,0,0,0,07,1,0,0
433,-2561190,0,0,0,0,0,0,07,0,0,0
434,-2561150,0,0,0,0,0,0,07,1,0,0
435,-2561110,0,0,0,0,0,0,07,0,0,0
436,-2561070,0,0,0,0,0,0,07,1,0,0
437,-2561030,0,0,0,0,0,0,07,0,0,0
438,-2560990,0,0,0,0,0,0,07,1,0,0
439,-2560950,0,0,0,0,0,0,07,0,0,0
440,-2560910,0,0,0,0,0,0,07,1,0,0
441,-2560870,0,0,0,0,0,0,07,0,0,0
442,-2560830,0,0,0,0,0,0,07,1,0,0
443,-2560790,0,0,0,0,0,0,07,0,0,0
444,-2560750,0,0,0,0,0,0,07,1,0,0
445,-2560710,0,0,0,0,0,0,07,0,0,0
446,-2560670,0,0,0,0,0,0,07,1,0,0
447,-2560630,0,0,0,0,0,0,07,0,0,0
448,-2560590,0,0,0,0,0,0,07,1,0,0
449,-2560550,0,0,0,0,0,0,07,0,0,0
450,-2560510,0,0,0,0,0,0,07,1,0,0
451,-2560470,0,0,0,0,0,0,07,0,0,0
452,-2560430,0,0,0,0,0,0,07,1,0,0
453,-2560390,0,0,0,0,0,0,07,0,0,0
454,-2560350,0,0,0,0,0,0,07,1,0,0
455,-2560310,0,0,0,0,0,0,07,0,0,0
456,-2560270,0,0,0,0,0,0,07,1,0,0
457,-2560230,0,0,0,0,0,0,07,0,0,0
458,-2560190,0,0,0,0,0,0,07,1,0,0
459,-2560150,0,0,0,0,0,0,07,0,0,0
460,-2560110,0,0,0,0,0,0,07,1,0,0
461,-2560070,0,0,0,0,0,0,07,0,0,0
462,-2560030,0,0,0,0,0,0,07,1,0,0
463,-2559990,0,0,0,0,0,0,07,0,0,0
464,-2559950,0,0,0,0,0,0,07,1,0,0
465,-2559910,0,0,0,0,0,0,07,0,0,0
466,-2559870,0,0,0,0,0,0,07,1,0,0
467,-2559830,0,0,0,0,0,0,07,0,0,0
468,-2559790,0,0,0,0,0,0,07,1,0,0
469,-2559750,0,0,0,0,0,0,07,0,0,0
470,-2559710,0,0,0,0,0,0,07,1,0,0
471,-2559670,0,0,0,0,0,0,07,0,0,0
472,-2559630,0,0,0,0,0,0,07,1,0,0
473,-2559590,0,0,0,0,0,0,07,0,0,0
474,-2559550,0,0,0,0,0,0,07,1,0,0
475,-2559510,0,0,0,0,0,0,07,0,0,0
476,-2559470,0,0,0,0,0,0,07,1,0,0
477,-2559430,0,0,0,0,0,0,07,0,0,0
478,-2559390,0,0,0,0,0,0,07,1,0,0
479,-2559350,0,0,0,0,0,0,07,0,0,0
480,-2559310,0,0,0,0,0,0,07,1,0,0
481,-2559270,0,0,0,0,0,0,07,0,0,0
482,-2559230,0,0,0,0,0,0,07,1,0,0
483,-2559190,0,0,0,0,0,0,07,0,0,0
484,-2559150,0,0,0,0,0,0,07,1,0,0
485,-2559110,0,0,0,0,0,0,07,0,0,0
486,-2559070,0,0,0,0,0,0,07,1,0,0
487,-2559030,0,0,0,0,0,0,07,0,0,0
488,-2558990,0,0,0,0,0,0,07,1,0,0
489,-2558950,0,0,0,0,0,0,07,0,0,0
490,-2558910,0,0,0,0,0,0,07,1,0,0
491,-2558870,0,0,0,0,0,0,07,0,0,0
492,-2558830,0,0,0,0,0,0,07,1,0,0
493,-2558790,0,0,0,0,0,0,07,0,0,0
494,-2558750,0,0,0,0,0,0,07,1,0,0
495,-2558710,0,0,0,0,0,0,07,0,0,0
496,-2558670,0,0,0,0,0,0,07,1,0,0
497,-2558630,0,0,0,0,0,0,07,0,0,0
498,-2558590,0,0,0,0,0,0,07,1,0,0
499,-2558550,0,0,0,0,0,0,07,0,0,0
500,-2558510,0,0,0,0,0,0,07,1,0,0
501,-2558470,0,0,0,0,0,0,07,0,0,0
502,-2558430,0,0,0,0,0,0,07,1,0,0
503,-2558390,0,0,0,0,0,0,07,0,0,0
504,-2558350,0,0,0,0,0,0,07,1,0,0
505,-2558310,0,0,0,0,0,0,07,0,0,0
506,-2558270,0,0,0,0,0,0,07,1,0,0
507,-2558230,0,0,0,0,0,0,07,0,0,0
508,-2558190,0,0,0,0,0,0,07,1,0,0
509,-2558150,0,0,0,0,0,0,07,0,0,0
510,-2558110,0,0,0,0,0,0,07,1,0,0
511,-2558070,0,0,0,0,0,0,07,0,0,0
512,-2558030,0,0,0,0,0,0,07,1,0,0
